ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,bitonic_sort_step,bitonic_sort_step..,"54,21","0,00","27,75","91,12",26," 4096,    1,    1","  512,    1,    1"
1,0.00,bitonic_sort_step,bitonic_sort_step..,"43,07","0,00","34,76","89,09",26," 4096,    1,    1","  512,    1,    1"
2,0.00,bitonic_sort_step,bitonic_sort_step..,"60,74","0,00","38,48","90,58",26," 4096,    1,    1","  512,    1,    1"
3,0.00,bitonic_sort_step,bitonic_sort_step..,"43,17","0,00","34,90","89,04",26," 4096,    1,    1","  512,    1,    1"
4,0.00,bitonic_sort_step,bitonic_sort_step..,"48,93","0,00","47,80","85,86",26," 4096,    1,    1","  512,    1,    1"
5,0.00,bitonic_sort_step,bitonic_sort_step..,"48,54","0,00","48,08","86,45",26," 4096,    1,    1","  512,    1,    1"
6,0.00,bitonic_sort_step,bitonic_sort_step..,"42,50","0,00","35,28","89,26",26," 4096,    1,    1","  512,    1,    1"
7,0.00,bitonic_sort_step,bitonic_sort_step..,"45,82","0,00","50,98","87,21",26," 4096,    1,    1","  512,    1,    1"
8,0.00,bitonic_sort_step,bitonic_sort_step..,"45,76","0,00","50,94","87,03",26," 4096,    1,    1","  512,    1,    1"
9,0.00,bitonic_sort_step,bitonic_sort_step..,"45,57","0,00","50,87","87,16",26," 4096,    1,    1","  512,    1,    1"
10,0.00,bitonic_sort_step,bitonic_sort_step..,"39,94","0,00","20,37","89,28",26," 4096,    1,    1","  512,    1,    1"
11,0.00,bitonic_sort_step,bitonic_sort_step..,"40,64","0,00","29,90","89,03",26," 4096,    1,    1","  512,    1,    1"
12,0.00,bitonic_sort_step,bitonic_sort_step..,"40,70","0,00","29,64","89,49",26," 4096,    1,    1","  512,    1,    1"
13,0.00,bitonic_sort_step,bitonic_sort_step..,"40,67","0,00","29,79","89,20",26," 4096,    1,    1","  512,    1,    1"
14,0.00,bitonic_sort_step,bitonic_sort_step..,"40,22","0,00","29,35","89,05",26," 4096,    1,    1","  512,    1,    1"
15,0.00,bitonic_sort_step,bitonic_sort_step..,"40,22","0,00","11,64","89,27",26," 4096,    1,    1","  512,    1,    1"
16,0.00,bitonic_sort_step,bitonic_sort_step..,"39,94","0,00","20,29","89,18",26," 4096,    1,    1","  512,    1,    1"
17,0.00,bitonic_sort_step,bitonic_sort_step..,"40,38","0,00","20,61","89,12",26," 4096,    1,    1","  512,    1,    1"
18,0.00,bitonic_sort_step,bitonic_sort_step..,"40,77","0,00","20,55","89,48",26," 4096,    1,    1","  512,    1,    1"
19,0.00,bitonic_sort_step,bitonic_sort_step..,"40,77","0,00","20,69","89,19",26," 4096,    1,    1","  512,    1,    1"
20,0.00,bitonic_sort_step,bitonic_sort_step..,"39,74","0,00","19,89","89,13",26," 4096,    1,    1","  512,    1,    1"
21,0.00,bitonic_sort_step,bitonic_sort_step..,"39,97","0,00","11,75","88,88",26," 4096,    1,    1","  512,    1,    1"
22,0.00,bitonic_sort_step,bitonic_sort_step..,"40,06","0,00","11,68","89,44",26," 4096,    1,    1","  512,    1,    1"
23,0.00,bitonic_sort_step,bitonic_sort_step..,"40,51","0,00","20,95","89,35",26," 4096,    1,    1","  512,    1,    1"
24,0.00,bitonic_sort_step,bitonic_sort_step..,"41,06","0,00","21,02","89,44",26," 4096,    1,    1","  512,    1,    1"
25,0.00,bitonic_sort_step,bitonic_sort_step..,"42,11","0,00","20,73","89,50",26," 4096,    1,    1","  512,    1,    1"
26,0.00,bitonic_sort_step,bitonic_sort_step..,"42,21","0,00","20,79","88,90",26," 4096,    1,    1","  512,    1,    1"
27,0.00,bitonic_sort_step,bitonic_sort_step..,"39,97","0,00","19,82","89,21",26," 4096,    1,    1","  512,    1,    1"
